name,kana,food,map,map_iflame,prefecture,municipalities,street_address,station,transportation,phone_number,shop_url,tabelog_url,latitude,longitude
庄助,しょうすけ,焼鳥、ホッケスティック、信玄袋、つくねとピーマン、和風焼きめし,"https://www.google.com/maps/place/%E3%82%84%E3%81%8D%E3%81%A8%E3%82%8A+%E5%BA%84%E5%8A%A9/@35.6713451,139.7958566,19.06z/data=!4m15!1m8!3m7!1s0x601889127b311631:0x93117347ae07cce8!2z44CSMTM1LTAwNDcg5p2x5Lqs6YO95rGf5p2x5Yy65a-M5bKh77yR5LiB55uu77yS4oiS77yY!3b1!8m2!3d35.6710895!4d139.7963144!16s%2Fg%2F11fx4fv2n_!3m5!1s0x601889127ae43617:0x8e4a4e91e1ed6ea8!8m2!3d35.6711489!4d139.7964293!16s%2Fg%2F1tkshscp?entry=ttu","<iframe src=""https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d810.3074311392718!2d139.7958566!3d35.6713451!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x601889127ae43617%3A0x8e4a4e91e1ed6ea8!2z44KE44GN44Go44KKIOW6hOWKqQ!5e0!3m2!1sja!2sjp!4v1710648284300!5m2!1sja!2sjp"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",東京都,江東区,富岡1-2-8,門前仲町駅,"・東京メトロ東西線　門前仲町駅徒歩3分
・門前仲町駅から105m",03-3643-9648,,https://tabelog.com/tokyo/A1313/A131303/13065350/,35.67126318242751,139.79641015831834
中国家庭料理 楊 2号店,ちゅうごくかていりょうりやんにごうてん,焼餃子、拌三絲、汁なし坦々麺,"https://www.google.com/maps/place/%E4%B8%AD%E5%9B%BD%E5%AE%B6%E5%BA%AD%E6%96%99%E7%90%86+%E6%A5%8A+2%E5%8F%B7%E5%BA%97/@35.7300994,139.706404,18.31z/data=!4m15!1m8!3m7!1s0x60188d5c6cc53ed5:0xc67115fe8f135177!2z44CSMTcxLTAwMjEg5p2x5Lqs6YO96LGK5bO25Yy66KW_5rGg6KKL77yT5LiB55uu77yS77yV4oiS77yVIOmrmOafs-ODk-ODqw!3b1!8m2!3d35.7300379!4d139.7072826!16s%2Fg%2F11c4z8tddn!3m5!1s0x60188d5c132a97d3:0xe0d68bdc8561d7b5!8m2!3d35.730042!4d139.7072349!16s%2Fg%2F1tm0t4jc?entry=ttu","<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d1306.8878256076882!2d139.70640398974604!3d35.730099409741065!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60188d5c132a97d3%3A0xe0d68bdc8561d7b5!2z5Lit5Zu95a625bqt5paZ55CGIOaliiAy5Y-35bqX!5e0!3m2!1sja!2sjp!4v1710650861650!5m2!1sja!2sjp"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",東京都,豊島区,西池袋3-25-5,池袋駅,"・東京メトロ丸ノ内線池袋駅1b出口より徒歩1分
・山手線池袋駅西口より徒歩3分",50-5869-2587,,https://tabelog.com/tokyo/A1305/A130501/13009261/,35.730143338373786,139.70724817100648
つり堀 武蔵野園,つりぼりむさしのえん,焼うどん、親子丼、おしるこ,"https://www.google.com/maps/place/%E6%AD%A6%E8%94%B5%E9%87%8E%E5%9C%92/@35.6854647,139.6382694,17.93z/data=!4m15!1m8!3m7!1s0x6018f2435714b589:0x60ccb5bcf0bf097c!2z44CSMTY4LTAwNjEg5p2x5Lqs6YO95p2J5Lim5Yy65aSn5a6u77yS5LiB55uu77yS77yS4oiS77yT!3b1!8m2!3d35.6858559!4d139.63965!16s%2Fg%2F11crrk6h6j!3m5!1s0x6018f35ae426673d:0x852ba13a48a28016!8m2!3d35.6858354!4d139.6395443!16s%2Fg%2F1vhly6q9?entry=ttu","<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d1701.3349869435774!2d139.6382693640432!3d35.68546469824256!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x6018f35ae426673d%3A0x852ba13a48a28016!2z5q2m6JS16YeO5ZyS!5e0!3m2!1sja!2sjp!4v1710654681819!5m2!1sja!2sjp"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",東京都,杉並区,大宮2-22-3 和田掘公園,西永福駅	,"・京王井の頭線永福町駅より京王バス新高円寺行5分、和田堀公園入口より徒歩2分
・西永福駅から873m",03-3312-2723,,https://tabelog.com/tokyo/A1318/A131805/13140021/,35.685906182706695,139.63955359839505
大和屋,やまとや,栗大福,"https://www.google.com/maps/place/%E5%A4%A7%E5%92%8C%E5%B1%8B/@35.7238123,139.6371551,18.49z/data=!3m1!5s0x6018ed97aec08a5d:0xbb4dfd01330f46b!4m6!3m5!1s0x6018ed97af2860cb:0xe7be1cf6b9912114!8m2!3d35.724302!4d139.638048!16s%2Fg%2F12m98qnkk?entry=ttu","<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d1153.6990991492332!2d139.63715506678295!3d35.7238123410377!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x6018ed97af2860cb%3A0xe7be1cf6b9912114!2z5aSn5ZKM5bGL!5e0!3m2!1sja!2sjp!4v1710815485808!5m2!1sja!2sjp"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",東京都,中野区,鷺宮4-34-9,鷺ノ宮駅,"・西武新宿線 鷺ノ宮駅より徒歩３分
・鷺ノ宮駅から228m",03-3338-3768,,https://tabelog.com/tokyo/A1321/A132104/13191818/,35.724394031202166,139.63804927141828
みやこや,みやこや,ミックスかつ定食、ロースにんにく焼,"https://www.google.com/maps/place/%E3%81%A8%E3%82%93%E3%81%8B%E3%81%A4+%E3%81%BF%E3%82%84%E3%81%93%E3%82%84/@35.7234502,139.6380674,18.64z/data=!4m6!3m5!1s0x6018ed9712c899b3:0x97b3c560fa6ab069!8m2!3d35.7236271!4d139.6387953!16s%2Fg%2F1thml0jt?entry=ttu","<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d1039.1017002190026!2d139.638067393581!3d35.7234502451315!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x6018ed9712c899b3%3A0x97b3c560fa6ab069!2z44Go44KT44GL44GkIOOBv-OChOOBk-OChA!5e0!3m2!1sja!2sjp!4v1710655218843!5m2!1sja!2sjp"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",東京都,中野区,鷺宮3-21-6,鷺ノ宮駅,"・西武新宿線【鷺ノ宮駅】徒歩２分
・鷺ノ宮駅から128m",03-3336-7037,,https://tabelog.com/tokyo/A1321/A132104/13011853/,35.723669589553616,139.63874542655284
吉祥寺さとう,きちじょうじさとう,メンチカツ,"https://www.google.com/maps/place/%E5%90%89%E7%A5%A5%E5%AF%BA%E3%81%95%E3%81%A8%E3%81%86/@35.7039762,139.5776644,18z/data=!3m2!4b1!5s0x6018ee47d8c18605:0x539265902d5b40fd!4m6!3m5!1s0x6018ee47d8c3ea11:0x480a2b9bf5253a37!8m2!3d35.703975!4d139.579041!16s%2Fg%2F1tfnt0vk?entry=ttu","<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d915.677496943664!2d139.57796517151226!3d35.70366380085952!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x6018ee47d8c3ea11%3A0x480a2b9bf5253a37!2z5ZCJ56Wl5a-644GV44Go44GG!5e0!3m2!1sja!2sjp!4v1710816233974!5m2!1sja!2sjp"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",東京都,武蔵野市,吉祥寺本町1-1-8,吉祥寺駅,"・吉祥寺駅北口より徒歩３分
・吉祥寺駅から118m",0422-22-3130,,https://tabelog.com/tokyo/A1320/A132001/13005807/,35.70402206557637,139.57905980429578
カヤシマ,かやしま,わくわくセット（ナポリタン＆ハンバーグ）,"https://www.google.com/maps/place/%E9%A3%9F%E4%BA%8B%E3%81%A8%E3%81%8A%E9%85%92+%E3%82%AB%E3%83%A4%E3%82%B7%E3%83%9E/@35.705247,139.5774077,17.43z/data=!3m1!5s0x6018ee48a07f9861:0xdfb6e13216ad3eff!4m15!1m8!3m7!1s0x6018ee461fd034c7:0x8cbaa70322ea4c73!2z44CSMTgwLTAwMDQg5p2x5Lqs6YO95q2m6JS16YeO5biC5ZCJ56Wl5a-65pys55S677yR5LiB55uu77yR77yQ4oiS77yZIOWvjOa-pOODk-ODqw!3b1!8m2!3d35.7060013!4d139.5789614!16s%2Fg%2F11g6ysv501!3m5!1s0x6018ee461fd4628b:0x4dea2c0ffa75cabf!8m2!3d35.7060218!4d139.5789151!16s%2Fg%2F1tfbsxzx?entry=ttu","<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2397.5954584561064!2d139.57740765681802!3d35.70524696224252!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x6018ee461fd4628b%3A0x4dea2c0ffa75cabf!2z6aOf5LqL44Go44GK6YWSIOOCq-ODpOOCt-ODng!5e0!3m2!1sja!2sjp!4v1710686746996!5m2!1sja!2sjp"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",東京都,武蔵野市,吉祥寺本町1-10-9,吉祥寺駅,"・JR、京王電鉄　吉祥寺駅下車　徒歩５分
・吉祥寺第一ホテル向かい
・吉祥寺駅から331m",0422-21-6461,,https://tabelog.com/tokyo/A1320/A132001/13040521/,35.706200935589095,139.57890969378235
つるや,つるや,キャベツ（お通し）、カルビ、ハラミ、コプチャン（小腸）、キムチ、ジンギスカン、シビレ（胸腺）、チャンジャ,"https://www.google.com/maps/place/%E3%80%92210-0024+%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C%E5%B7%9D%E5%B4%8E%E5%B8%82%E5%B7%9D%E5%B4%8E%E5%8C%BA%E6%97%A5%E9%80%B2%E7%94%BA%EF%BC%91%EF%BC%99%E2%88%92%EF%BC%97/@35.5237058,139.6904967,16.82z/data=!4m6!3m5!1s0x601860a13c005d99:0xb2ca3001eb33615f!8m2!3d35.5249734!4d139.6946573!16s%2Fg%2F12hncj67b?entry=ttu","<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3669.476166829853!2d139.69049674025933!3d35.52370576555531!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x601860a13c005d99%3A0xb2ca3001eb33615f!2z44CSMjEwLTAwMjQg56We5aWI5bed55yM5bed5bSO5biC5bed5bSO5Yy65pel6YCy55S677yR77yZ4oiS77yX!5e0!3m2!1sja!2sjp!4v1710737596817!5m2!1sja!2sjp"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",神奈川県,川崎市川崎区,日進町19-7,八丁畷駅,"・JR浜川崎線、京浜急行、「八丁畷駅」より徒歩５分。
・JR南武線、東海道線、京浜東北線、「川崎駅」より徒歩15分
・八丁畷駅から360m",044-211-0697,,https://tabelog.com/kanagawa/A1405/A140502/14018525/,35.525180931076314,139.6946552702222
ニックンロール,にっくんろーる,ニックンロール,"https://www.google.com/maps/place/%E3%83%8B%E3%83%83%E3%82%AF%E3%83%B3%E3%83%AD%E3%83%BC%E3%83%AB/@35.6603125,139.6669709,18z/data=!3m1!5s0x6018f3697b868d07:0x1e4568af819f4e83!4m14!1m7!3m6!1s0x6018f3697b77f407:0x3ae3073a26d40e25!2z44CSMTU1LTAwMzEg5p2x5Lqs6YO95LiW55Sw6LC35Yy65YyX5rKi77yS5LiB55uu77yR77yU4oiS77yR77yVIDFm!3b1!8m2!3d35.6599451!4d139.6677232!3m5!1s0x6018f3697b867053:0x3520638bd461f23e!8m2!3d35.659927!4d139.6677465!16s%2Fg%2F1tfj_wzx?entry=ttu","<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d1249.3472978786212!2d139.66697092369068!3d35.66031251646168!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x6018f3697b867053%3A0x3520638bd461f23e!2z44OL44OD44Kv44Oz44Ot44O844Or!5e0!3m2!1sja!2sjp!4v1710816603257!5m2!1sja!2sjp"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",東京都,世田谷区,北沢2-14-15 １Ｆ,下北沢駅,・下北沢駅から179m,070-5579-9897,,https://tabelog.com/tokyo/A1318/A131802/13099819/,35.65994464357356,139.66774415161825
ヒロキ 下北沢店 ,ひろきしもきたざわてん,タコの広島ネギとゆずポン酢、ホタテのガーリック焼、カキの香草バター焼、HIROKIスペシャル,"https://www.google.com/maps/place/%E3%81%8A%E5%A5%BD%E3%81%BF%E7%84%BC%E3%81%8D%E3%81%B2%E3%82%8D%E3%81%8D%E4%B8%8B%E5%8C%97%E6%B2%A2%E5%BA%97/@35.660586,139.6668738,18z/data=!3m1!5s0x6018f3697e9f716b:0xdce3239509256ab7!4m6!3m5!1s0x6018f3697ea6aaab:0x3a0199a6b4940d1c!8m2!3d35.6601056!4d139.66783!16s%2Fg%2F1tdn43md?entry=ttu","<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d1620.8332798561485!2d139.66687384592424!3d35.66058602835207!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x6018f3697ea6aaab%3A0x3a0199a6b4940d1c!2z44GK5aW944G_54S844GN44Gy44KN44GN5LiL5YyX5rKi5bqX!5e0!3m2!1sja!2sjp!4v1710738563326!5m2!1sja!2sjp"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",東京都,世田谷区,北沢2-14-14 ハニー下北沢 1F,下北沢駅,"・下北沢駅 中央口・東口より徒歩3分
・下北沢駅から163m",03-3412-3908,,https://tabelog.com/tokyo/A1318/A131802/13001391/,35.660195940952704,139.66782871225115
福丸饅頭,ふくまるまんじゅう,かりんとう饅頭,"https://www.google.com/maps/place/%E7%A6%8F%E4%B8%B8%E9%A5%85%E9%A0%AD/@35.7258412,139.7635365,18.73z/data=!4m6!3m5!1s0x60188dd23abe9861:0xc4b22748b82e1045!8m2!3d35.7260068!4d139.7644396!16s%2Fg%2F1tjv3hts?entry=ttu","<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d978.2386374661977!2d139.763536457503!3d35.72584122025423!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60188dd23abe9861%3A0xc4b22748b82e1045!2z56aP5Li46aWF6aCt!5e0!3m2!1sja!2sjp!4v1710818384341!5m2!1sja!2sjp"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",東京都,台東区,谷中3-7-8,千駄木駅,"・東京メトロ千代田線　千駄木駅より徒歩3分
・千駄木駅から133m",03-3823-0709,,https://tabelog.com/tokyo/A1311/A131106/13022554/,35.726045086553555,139.76444698003772
