season,ep,title,
Season1,第1話,江東区 門前仲町のやきとりと焼めし,
Season1,第2話,豊島区 駒込の煮魚定食,
Season1,第3話,豊島区 池袋の汁なし担々麺,
Season1,第4話,千葉県 浦安市の静岡おでん,
Season1,第5話,杉並区 永福の親子丼と焼うどん,
Season1,第6話,中野区 鷺宮のロースにんにく焼,
Season1,第7話,武蔵野市 吉祥寺喫茶店のナポリタン,
Season1,第8話,神奈川県川崎市 八丁畷の一人焼肉,
Season1,第9話,世田谷区 下北沢の広島風お好み焼き,
Season1,第10話,豊島区 東長崎のしょうが焼目玉丼,
Season1,第11話,文京区 根津飲みやさんの特辛カレーライス,
Season1,第12話,目黒区 中目黒のソーキそばとアグー豚の天然塩焼き,
Season2,第1話,神奈川県川崎市 新丸子のネギ肉イタメ,
Season2,第2話,中央区 日本橋人形町の黒天丼,
Season2,第3話,中野区 沼袋のわさびカルビと卵かけご飯,
Season2,第4話,群馬県邑楽郡 大泉町のブラジル料理,
Season2,第5話,神奈川県横浜市 白楽の豚肉と玉ねぎのニンニク焼き,
Season2,第6話,江戸川区 京成小岩の激辛四川料理,
Season2,第7話,千葉県旭市 飯岡のさんまのなめろうと蛤の酒蒸し,
Season2,第8話,墨田区 両国の一人ちゃんこ鍋,
Season2,第9話,江東区 砂町銀座商店街を経て事務所飯,
Season2,第10話,北区 十条の鯖のくんせいと甘い玉子焼,
Season2,第11話,足立区 北千住のタイカレーと鶏の汁無し麺,
Season2,第12話,東京都三鷹市 お母さんコロッケとぶり大根,
Season3,第1話,北区 赤羽のほろほろ鳥とうな丼,
Season3,第2話,神奈川県横浜市 日ノ出町のチートのしょうが炒めとパタン,
Season3,第3話,静岡県賀茂郡 河津町の生ワサビ付わさび丼,
Season3,第4話,文京区 江戸川橋の魚屋さんの銀だら西京焼,
Season3,第5話,中野区 東中野の羊の鉄鍋とラグマン,
Season3,第6話,板橋区 板橋のホルモン焼き,
Season3,第7話,目黒区 駒場東大前のマッシュルームガーリックとカキグラタン,
Season3,第8話,台東区 鶯谷のアボカド鶏メンチと鳥鍋めし,
Season3,第9話,練馬区 小竹向原のローストポークサンドイッチとサルシッチャ,
Season3,第10話,荒川区 西尾久の炎の酒鍋と麦とろ飯,
Season3,第11話,新潟県 十日町市のドライブインの牛肉の煮込みと五目釜めし,
Season3,第12話,品川区 大井町のいわしのユッケとにぎり寿司,
Season4,第1話,東京都 清瀬市のもやしと肉のピリ辛イタメ,
Season4,第2話,中央区 銀座の韓国風天ぷらと参鶏湯ラーメン,
Season4,第3話,神奈川県足柄下郡 箱根町のステーキ丼,
Season4,第4話,東京都八王子市 小宮町のヒレカルビとロースすき焼き風,
Season4,第5話,愛知県知多郡 日間賀島のしらすの天ぷらとたこめし,
Season4,第6話,江東区 木場のチーズクルタとラムミントカレー,
Season4,第7話,台東区 鳥越の明太クリームパスタとかつサンド,
